"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","2","","","56","Quận Bình Tân","Tp Hồ Chí Minh","2300000000","0","1","Phường An Lạc","","0","","0"
"","2","","","55","Huyện Bình Chánh","Tp Hồ Chí Minh","1300000000","0","2","Xã Phong Phú","","0","","0"
"","2","","","69","Quận Bình Tân","Tp Hồ Chí Minh","1900000000","0","2","Phường Bình Trị Đông A","","1","","2"
"","2","","","67","Thành phố Thủ Đức","Tp Hồ Chí Minh","2500000000","0","2","Phường Phú Hữu (Quận 9 cũ)","","0","","0"
"","3","","","87","Thành phố Nha Trang","Khánh Hòa","2300000000","0","0","Phường Phước Hải","","6","","4"
"","1","","","57","Huyện Bình Chánh","Tp Hồ Chí Minh","1690000000","0","1","Xã Phong Phú","","0","","0"
"","2","","","68","Quận 1","Tp Hồ Chí Minh","8500000000","0","0","Phường Bến Nghé","","0","","0"
"","2","","","60","Quận 5","Tp Hồ Chí Minh","1540000000","0","2","Phường 9","","0","","0"
"","2","","","558","Quận 12","Tp Hồ Chí Minh","2200000000","0","2","Phường Trung Mỹ Tây","","0","","0"
"","2","","","54.9","Thành phố Thủ Đức","Tp Hồ Chí Minh","1680000000","0","1","Phường Phước Long B (Quận 9 cũ)","","7","","6"
"","3","","","83","Thành phố Thủ Đức","Tp Hồ Chí Minh","6100000000","0","2","Phường An Khánh (Quận 2 cũ)","","0","","0"
"","2","","","60","Thành phố Thủ Đức","Tp Hồ Chí Minh","3000000000","0","1","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","66","Thành phố Thủ Đức","Tp Hồ Chí Minh","2300000000","0","2","Phường Phước Long B (Quận 9 cũ)","","8","","7"
"","3","","","87","Quận 7","Tp Hồ Chí Minh","4190000000","0","2","Phường Tân Thuận Tây","","0","","0"
"","2","","","64","Quận Gò Vấp","Tp Hồ Chí Minh","2690000000","0","1","Phường 16","","1","","1"
"","2","","","65","Thành phố Thủ Đức","Tp Hồ Chí Minh","5200000000","0","2","Phường Thảo Điền (Quận 2 cũ)","","0","","0"
"","2","","","80","Quận Hoàng Mai","Hà Nội","2650000000","0","2","Phường Định Công","","0","","0"
"","2","","","56","Quận Hoàng Mai","Hà Nội","1700000000","0","2","Phường Hoàng Liệt","","0","","3"
"","2","","","50","Thành phố Vũng Tàu","Bà Rịa - Vũng Tàu","2600000000","0","1","Phường Thắng Tam","","1","","2"
"","2","","","70","Thành phố Thủ Đức","Tp Hồ Chí Minh","2400000000","0","2","Phường Phước Long A (Quận 9 cũ)","","0","","0"
"","2","","","58","Quận 8","Tp Hồ Chí Minh","1900000000","0","1","Phường 13","","0","","0"
